 	X	Y
488	258	339
489	863	282
490	731	261
491	727	1242
492	549	1163
493	519	1156
494	621	1148
495	573	1102
496	473	1076
497	868	1050
498	538	1004
499	606	987
500	934	971
501	516	912
502	474	913
503	778	911
504	963	892
505	559	889
506	694	881
507	612	873
508	222	860
509	364	857
510	652	845
511	459	841
512	704	827
513	435	823
514	381	797
515	290	762
516	420	757
517	407	671
518	520	615
519	1218	596
520	537	547
521	863	523
522	902	508
523	246	483
524	817	466
525	815	418
526	604	391
527	769	387
528	692	382
529	615	348
530	1004	340
531	714	319
532	1130	300
533	829	261
534	876	1248
535	763	1199
536	839	1194
537	669	1167
538	888	1094
539	843	1045
540	804	1035
541	759	1035
542	466	1035
543	515	1022
544	432	1014
545	833	987
546	1137	949
547	479	934
548	904	929
549	1034	913
550	541	892
551	1030	875
552	545	850
553	359	809
554	480	795
555	579	789
556	609	767
557	261	750
558	661	749
559	461	744
560	398	730
561	435	728
562	101	720
563	985	585
564	1144	496
565	836	479
566	917	446
567	486	436
568	680	405
569	707	394
570	1010	393
571	669	354
572	1063	350
573	959	332
574	623	325
575	974	323
576	686	280
577	623	238
578	896	234
579	698	1281
580	696	1261
581	928	1170
582	842	1144
583	457	1119
584	859	1111
585	467	1094
586	503	1087
587	736	1086
588	533	1079
589	790	1064
590	520	1043
591	586	1020
592	1042	1018
593	439	985
594	742	948
595	421	941
596	436	928
597	928	925
598	666	917
599	696	912
600	281	911
601	390	910
602	623	904
603	746	887
604	556	868
605	720	859
606	621	847
607	1019	835
608	510	807
609	245	802
610	458	791
611	436	744
612	840	700
613	508	699
614	418	656
615	322	645
616	714	601
617	592	568
618	562	540
619	994	532
620	915	519
621	566	518
622	540	513
623	869	502
624	661	409
625	1148	398
626	1033	396
627	924	396
628	670	381
629	789	370
630	947	357
631	868	353
632	767	345
633	1044	343
634	941	341
635	1046	279
636	568	1245
637	623	1191
638	988	1169
639	829	1160
640	755	1156
641	444	1099
642	427	1067
643	668	1059
644	437	1047
645	495	1037
646	615	1004
647	630	986
648	515	950
649	586	844
650	403	828
651	229	822
652	507	773
653	365	754
654	347	719
655	652	711
656	341	678
657	830	664
658	879	659
659	576	650
660	782	641
661	278	629
662	436	624
663	376	598
664	320	592
665	523	563
666	361	558
667	630	520
668	1071	511
669	935	506
670	350	489
671	738	458
672	766	439
673	736	409
674	1194	407
675	938	405
676	781	401
677	739	361
678	427	337
679	633	334
680	609	329
681	991	318
682	727	301
683	761	282
684	1139	267
685	688	261
686	1088	239
687	551	1178
688	502	1148
689	533	1147
690	467	1110
691	463	1054
692	494	1017
693	392	1012
694	572	1002
695	589	994
696	375	994
697	490	955
698	465	952
699	680	949
700	639	896
701	485	884
702	493	872
703	235	849
704	386	828
705	304	825
706	566	808
707	260	802
708	725	785
709	468	770
710	347	765
711	527	764
712	254	739
713	431	677
714	528	647
715	474	636
716	891	629
717	563	622
718	607	597
719	972	578
720	508	513
721	537	486
722	1242	482
723	541	452
724	891	450
725	702	446
726	537	436
727	432	425
728	721	423
729	506	420
730	699	411
731	479	406
732	727	391
733	908	390
734	476	369
735	618	362
736	756	360
737	471	354
738	559	342
739	929	321
740	666	320
741	862	302
742	748	293
743	708	268
744	318	1192
745	525	1136
746	715	1119
747	633	1087
748	757	1077
749	485	1065
750	361	1063
751	687	1028
752	625	1028
753	456	1001
754	426	966
755	539	960
756	495	934
757	636	918
758	588	871
759	477	863
760	411	811
761	303	799
762	631	797
763	364	785
764	548	781
765	252	768
766	543	758
767	241	740
768	499	722
769	884	682
770	559	671
771	333	669
772	438	643
773	355	528
774	611	516
775	365	496
776	747	475
777	494	473
778	449	448
779	578	433
780	465	424
781	856	417
782	618	398
783	509	393
784	583	390
785	531	378
786	589	344
787	646	310
788	452	283
789	646	251
790	784	209
791	530	1226
792	569	1182
793	829	1039
794	471	1019
795	600	968
796	526	967
797	401	960
798	689	931
799	526	931
800	653	927
801	340	898
802	665	895
803	397	889
804	392	870
805	302	846
806	275	785
807	486	759
808	611	753
809	572	741
810	270	719
811	330	627
812	348	611
813	365	579
814	503	567
815	365	544
816	765	521
817	701	519
818	881	421
819	450	399
820	701	288
821	876	280
822	887	252
823	966	245
824	439	217
825	805	189
826	369	1043
827	573	1031
828	286	929
829	824	911
830	582	911
831	446	878
832	247	847
833	338	786
834	230	754
835	306	739
836	245	723
837	551	721
838	492	654
839	396	617
840	403	585
841	325	565
842	343	562
843	394	561
844	478	523
845	775	506
846	989	496
847	461	481
848	298	478
849	382	468
850	533	416
851	471	389
852	692	309
853	411	285
854	805	228
855	456	192
856	768	125
857	539	1049
858	602	1020
859	791	1017
860	396	984
861	313	931
862	1140	926
863	408	920
864	361	901
865	452	867
866	325	854
867	287	817
868	432	782
869	238	778
870	590	769
871	331	752
872	276	690
873	289	680
874	820	646
875	352	626
876	373	623
877	469	601
878	809	584
879	385	531
880	614	497
881	401	459
882	498	449
883	571	447
884	623	446
885	647	397
886	568	354
887	559	242
888	847	210
889	482	197
890	758	84
891	474	1138
892	590	934
893	465	884
894	255	863
895	458	812
896	279	803
897	414	782
898	328	718
