 	X	Y
487	705	1132
488	945	1114
489	633	1111
490	793	1096
491	611	1093
492	725	1081
493	598	1077
494	477	1071
495	841	1064
496	734	1050
497	555	1047
498	994	1040
499	979	1037
500	876	1021
501	556	1018
502	616	1012
503	632	1007
504	876	1000
505	862	999
506	984	991
507	717	985
508	1029	984
509	870	962
510	745	961
511	412	959
512	1094	955
513	819	952
514	648	942
515	480	942
516	686	927
517	862	918
518	919	899
519	421	885
520	742	879
521	818	876
522	413	863
523	808	860
524	544	855
525	786	846
526	504	819
527	529	806
528	357	796
529	441	754
530	547	740
531	507	733
532	1020	722
533	888	712
534	631	710
535	949	710
536	488	704
537	1219	704
538	808	680
539	913	631
540	264	618
541	850	592
542	1238	565
543	843	561
544	382	555
545	824	554
546	798	549
547	614	549
548	1091	546
549	577	537
550	317	528
551	715	515
552	405	514
553	817	510
554	961	509
555	695	504
556	242	490
557	978	490
558	653	489
559	547	472
560	925	469
561	443	456
562	765	454
563	1184	449
564	1036	444
565	688	444
566	451	437
567	863	436
568	592	436
569	759	433
570	624	431
571	568	418
572	351	412
573	891	401
574	849	387
575	713	379
576	797	361
577	819	358
578	728	355
579	1036	353
580	751	342
581	682	332
582	949	330
583	591	330
584	936	326
585	750	306
586	1078	271
587	1039	267
588	911	217
589	818	205
590	916	193
591	593	181
592	669	92
593	696	1411
594	565	1204
595	746	1196
596	701	1179
597	330	1175
598	668	1172
599	566	1161
600	790	1159
601	930	1129
602	583	1129
603	668	1124
604	868	1115
605	696	1094
606	723	1065
607	537	1060
608	607	1050
609	649	1038
610	445	1030
611	663	1025
612	645	1016
613	436	1000
614	961	991
615	445	971
616	523	966
617	617	962
618	556	950
619	458	946
620	767	934
621	411	927
622	320	925
623	787	913
624	474	914
625	411	911
626	747	909
627	535	909
628	829	863
629	1152	859
630	426	860
631	983	837
632	454	802
633	970	795
634	474	785
635	380	784
636	406	776
637	405	756
638	1008	754
639	1015	735
640	449	732
641	410	720
642	480	720
643	909	715
644	423	708
645	996	700
646	469	695
647	701	675
648	420	676
649	473	669
650	525	663
651	1002	662
652	532	636
653	856	633
654	506	623
655	928	618
656	282	614
657	93	612
658	1134	608
659	579	601
660	516	599
661	494	596
662	576	585
663	841	581
664	443	570
665	476	563
666	728	560
667	704	546
668	619	523
669	1075	507
670	1214	506
671	735	487
672	615	481
673	496	473
674	738	463
675	662	450
676	552	448
677	526	427
678	587	416
679	1050	414
680	742	413
681	1071	402
682	707	396
683	621	369
684	774	347
685	627	347
686	1143	339
687	906	335
688	572	336
689	885	324
690	767	318
691	660	317
692	552	307
693	563	306
694	675	301
695	733	296
696	964	286
697	949	281
698	1009	234
699	886	230
700	623	1276
701	761	1266
702	739	1251
703	540	1237
704	553	1214
705	824	1198
706	923	1195
707	650	1182
708	604	1140
709	417	1062
710	458	1054
711	522	1053
712	626	1044
713	396	1042
714	534	1009
715	563	994
716	840	992
717	541	982
718	1158	980
719	590	978
720	704	954
721	433	949
722	730	932
723	718	923
724	437	915
725	510	910
726	490	893
727	1218	877
728	718	873
729	586	858
730	384	820
731	501	799
732	416	797
733	325	764
734	384	763
735	364	759
736	223	758
737	369	740
738	444	712
739	452	704
740	1140	703
741	454	683
742	344	670
743	451	662
744	418	627
745	461	623
746	418	601
747	558	574
748	538	563
749	451	558
750	771	546
751	506	535
752	668	525
753	513	512
754	578	502
755	511	496
756	784	496
757	1170	494
758	757	487
759	760	471
760	642	470
761	859	466
762	693	467
763	567	459
764	519	452
765	600	450
766	959	443
767	815	433
768	510	414
769	1015	404
770	814	400
771	698	373
772	507	371
773	677	364
774	628	328
775	395	313
776	831	295
777	500	289
778	1007	268
779	671	235
780	839	204
781	861	202
782	777	181
783	909	1164
784	530	1151
785	1059	1125
786	777	1110
787	415	1088
788	478	1041
789	410	1032
790	305	1023
791	427	988
792	399	949
793	535	947
794	616	929
795	340	917
796	433	890
797	451	883
798	679	881
799	482	852
800	467	845
801	296	838
802	433	829
803	351	813
804	172	810
805	391	798
806	438	791
807	478	761
808	424	743
809	207	742
810	374	718
811	356	701
812	345	695
813	373	675
814	434	664
815	108	658
816	981	649
817	332	626
818	378	620
819	378	585
820	875	541
821	450	531
822	366	528
823	483	511
824	1144	499
825	375	491
826	676	470
827	1127	435
828	914	434
829	720	431
830	678	424
831	540	416
832	491	414
833	768	409
834	669	403
835	650	401
836	536	396
837	674	383
838	658	374
839	397	352
840	612	348
841	894	311
842	645	304
843	466	300
844	813	280
845	988	265
846	883	250
847	508	234
848	782	212
849	632	129
850	923	1247
851	381	1164
852	884	1154
853	594	1022
854	296	993
855	318	964
856	522	938
857	374	934
858	290	921
859	309	915
860	534	885
861	400	882
862	587	882
863	391	871
864	375	848
865	360	848
866	658	847
867	510	844
868	405	825
869	786	809
870	562	799
871	159	787
872	583	777
873	451	771
874	337	731
875	1060	720
876	315	720
877	563	712
878	658	684
879	491	679
880	411	650
881	305	645
882	474	623
883	359	621
884	403	614
885	522	579
886	412	573
887	282	561
888	385	536
889	342	535
890	547	530
891	482	526
892	640	520
893	380	514
894	353	512
895	401	490
896	618	458
897	486	454
898	273	446
899	537	441
900	503	433
901	333	430
902	325	413
903	982	408
904	505	388
905	336	384
906	972	377
907	352	371
908	375	367
909	516	282
910	723	265
911	617	235
912	898	218
913	516	218
914	963	157
915	751	148
916	750	121
917	650	1200
918	517	1124
919	492	1054
920	386	1055
921	581	1037
922	355	999
923	205	970
924	365	943
925	356	927
926	273	906
927	283	893
928	1119	890
929	579	823
930	600	800
931	333	791
932	147	771
933	391	743
934	300	729
935	719	686
936	393	660
937	319	661
938	242	648
939	196	622
940	305	610
941	361	597
942	161	596
943	595	591
944	317	564
945	353	553
946	429	497
947	253	473
948	385	471
949	422	469
950	411	449
951	184	431
952	1064	385
953	320	381
954	408	327
955	551	324
956	678	314
957	295	315
958	583	304
959	894	296
960	325	297
961	479	289
962	455	281
963	596	246
964	1038	228
965	527	208
966	730	136
967	452	1201
968	327	1107
969	406	990
970	233	899
971	268	875
972	452	846
973	270	817
974	254	797
975	193	793
976	342	715
977	845	685
978	575	666
979	269	634
980	439	629
981	278	589
982	407	554
983	548	501
984	331	459
985	178	442
986	636	365
987	450	310
988	536	301
989	701	298
990	432	265
991	240	259
992	665	174
993	259	1102
994	328	987
995	208	940
996	243	856
997	323	848
998	172	725
999	321	696
1000	594	653
1001	235	591
1002	163	572
1003	305	476
1004	383	397
1005	276	328
1006	343	290
1007	685	251
1008	157	870
1009	249	829
1010	342	757
1011	367	651
1012	406	536
1013	201	420
1014	337	345
1015	521	334
1016	554	187
1017	559	148
1018	590	95
1019	1152	684
1020	1160	615
1021	218	564
1022	333	556
1023	323	310
1024	817	1340
1025	653	233
1026	292	861
1027	168	519
1028	902	160
1029	484	215
1030	167	642
1031	209	636
1032	439	594
1033	1112	1195
1034	1171	1050
1035	1112	1118
1036	1101	1082
1037	1274	784
1038	1245	721
1039	274	196
1040	1256	519
1041	408	195
1042	768	1228
1043	964	1205
1044	40	644
1045	1074	306
1046	509	1183
1047	76	647
1048	844	248
1049	430	210
1050	1000	188
1051	361	1094
1052	989	218
1053	724	191
1054	249	373
1055	279	504
