 	X	Y
487	819	468
488	1238	438
489	751	433
490	1035	399
491	696	382
492	974	373
493	618	347
494	961	334
495	1005	315
496	734	260
497	745	256
498	826	1160
499	516	1155
500	838	1144
501	885	1096
502	809	1052
503	460	1052
504	840	1046
505	743	1044
506	777	1033
507	535	1002
508	1031	915
509	538	890
510	1027	876
511	609	871
512	219	857
513	542	847
514	650	844
515	919	824
516	966	819
517	806	818
518	370	817
519	478	794
520	182	788
521	606	765
522	811	762
523	714	736
524	826	729
525	102	716
526	1205	713
527	1036	701
528	782	641
529	245	634
530	960	625
531	789	616
532	1218	599
533	1213	582
534	539	545
535	839	542
536	866	524
537	904	510
538	838	481
539	685	476
540	515	476
541	919	448
542	489	434
543	1087	410
544	1012	396
545	760	395
546	571	371
547	1007	343
548	662	334
549	1049	280
550	693	1260
551	874	1249
552	724	1241
553	760	1199
554	546	1162
555	619	1146
556	570	1101
557	733	1087
558	501	1084
559	788	1064
560	517	1041
561	512	1021
562	612	1002
563	829	987
564	437	983
565	766	947
566	418	939
567	492	932
568	472	910
569	389	907
570	620	903
571	485	900
572	743	887
573	364	853
574	935	847
575	456	839
576	357	806
577	259	798
578	427	796
579	260	747
580	434	725
581	166	725
582	430	673
583	576	648
584	362	554
585	918	522
586	937	508
587	1066	503
588	1146	498
589	352	487
590	899	486
591	1160	456
592	769	439
593	740	410
594	684	405
595	927	398
596	607	390
597	772	387
598	950	359
599	626	326
600	717	318
601	669	318
602	689	279
603	813	276
604	832	261
605	1091	241
606	899	235
607	565	1245
608	619	1191
609	566	1180
610	985	1171
611	925	1171
612	500	1147
613	521	1136
614	454	1117
615	464	1092
616	463	1033
617	677	949
618	512	948
619	476	931
620	434	926
621	632	916
622	619	845
623	762	818
624	244	800
625	577	788
626	288	759
627	365	751
628	435	741
629	840	702
630	1119	671
631	833	666
632	418	653
633	323	641
634	435	621
635	717	602
636	595	566
637	1074	514
638	542	511
639	872	503
640	894	452
641	705	448
642	818	419
643	664	408
644	785	402
645	1151	401
646	829	396
647	674	381
648	534	377
649	792	370
650	742	361
651	871	355
652	672	353
653	943	342
654	430	335
655	637	334
656	993	320
657	865	303
658	691	260
659	626	237
660	548	1178
661	530	1146
662	857	1113
663	441	1098
664	425	1064
665	666	1059
666	826	1040
667	491	1015
668	430	1012
669	373	992
670	628	984
671	1136	952
672	902	931
673	664	915
674	513	910
675	637	896
676	552	867
677	717	860
678	1019	838
679	345	716
680	650	708
681	885	685
682	408	668
683	881	662
684	529	644
685	277	626
686	563	620
687	520	612
688	986	588
689	973	580
690	525	560
691	357	525
692	632	518
693	510	511
694	539	484
695	496	471
696	544	450
697	539	433
698	581	432
699	482	404
700	711	394
701	512	391
702	760	360
703	770	345
704	456	281
705	1141	269
706	808	190
707	665	1167
708	752	1156
709	712	1120
710	435	1044
711	493	1034
712	464	949
713	739	948
714	523	929
715	926	928
716	694	913
717	280	908
718	490	869
719	586	869
720	391	866
721	583	844
722	301	843
723	402	825
724	385	825
725	304	822
726	228	819
727	409	808
728	565	806
729	722	785
730	252	764
731	460	741
732	253	735
733	397	727
734	498	720
735	507	695
736	332	665
737	438	639
738	474	633
739	892	631
740	365	575
741	565	538
742	569	516
743	367	493
744	508	418
745	1195	410
746	910	391
747	621	362
748	933	321
749	764	282
750	695	1281
751	465	1107
752	631	1086
753	367	1040
754	570	1029
755	621	1028
756	585	1018
757	389	1010
758	569	1001
759	586	992
760	424	964
761	536	958
762	246	844
763	629	796
764	364	782
765	274	782
766	505	771
767	467	767
768	525	761
769	545	757
770	572	737
771	241	736
772	309	703
773	341	674
774	395	614
775	608	594
776	321	588
777	503	564
778	704	519
779	1244	484
780	742	458
781	858	419
782	702	412
783	941	406
784	453	398
785	729	391
786	479	367
787	612	328
788	730	300
789	705	289
790	878	281
791	711	267
792	649	250
793	967	248
794	315	1190
795	482	1064
796	359	1061
797	685	1029
798	469	1018
799	453	999
800	523	966
801	488	953
802	687	931
803	396	887
804	445	876
805	234	846
806	286	814
807	301	796
808	547	779
809	588	768
810	305	736
811	276	687
812	559	668
813	493	651
814	332	624
815	354	623
816	377	595
817	395	558
818	365	541
819	765	521
820	613	515
821	750	476
822	452	446
823	883	424
824	725	424
825	621	397
826	474	352
827	592	345
828	562	341
829	696	310
830	751	293
831	629	248
832	787	209
833	772	126
834	526	1226
835	790	1019
836	598	967
837	400	957
838	588	934
839	651	927
840	284	927
841	580	908
842	484	881
843	451	864
844	475	860
845	323	851
846	610	750
847	550	719
848	822	648
849	374	621
850	541	585
851	777	508
852	991	498
853	464	480
854	383	465
855	574	446
856	467	422
857	434	423
858	474	387
859	452	380
860	650	310
861	890	256
862	808	226
863	471	1136
864	379	1027
865	599	1019
866	406	918
867	822	911
868	359	898
869	340	895
870	663	894
871	337	803
872	278	800
873	396	780
874	238	775
875	347	762
876	486	756
877	331	749
878	278	749
879	327	734
880	245	720
881	271	716
882	390	705
883	470	598
884	449	579
885	381	564
886	326	562
887	385	528
888	478	519
889	431	476
890	430	460
891	501	448
892	536	414
893	585	389
894	500	364
895	414	283
896	459	191
897	754	1076
898	394	982
899	254	860
900	456	809
901	337	783
902	432	779
903	582	692
904	349	607
905	403	583
906	457	536
907	506	489
908	301	476
909	402	457
910	401	432
911	546	401
912	650	396
913	571	353
914	342	349
915	495	341
916	562	240
917	566	231
918	443	217
919	850	210
920	486	195
921	634	1143
922	271	1073
923	537	1047
924	311	928
925	266	901
926	328	881
927	230	751
928	326	716
929	287	678
930	386	655
931	405	624
932	810	587
933	347	587
934	569	584
935	344	559
936	442	558
937	303	538
938	446	517
939	583	508
940	445	494
941	625	445
942	593	373
943	677	367
944	528	350
945	539	294
946	536	247
947	638	152
948	502	143
949	761	85
950	496	968
951	1139	929
952	260	891
953	463	882
954	345	866
955	413	779
956	379	747
957	293	713
